nome,grupo_muscular_principal,equipamento,dificuldade,gif_url,publico
Abdominal Alternado com Rotacao,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-alternado-com-rotacao.gif,true
Abdominal Alternando Pernas,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-alternando-pernas.gif,true
Abdominal Banco,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-banco.gif,true
Abdominal Banco Declinado Completo,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-banco-declinado-completo.gif,true
Abdominal Bicleta,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abdominal-bicleta.gif,true
Abdominal Bola Flexao de Quadril,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-bola-flexao-de-quadril.gif,true
Abdominal Borboleta,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-borboleta.gif,true
Abdominal Carga Nos Pes,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-carga-nos-pes.gif,true
Abdominal Completo,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-completo.gif,true
Abdominal Completo Tocando os Pes,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-completo-tocando-os-pes.gif,true
Abdominal Concentrado,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abdominal-concentrado.gif,true
Abdominal Curto Pernas Elevadas,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-curto-pernas-elevadas.gif,true
Abdominal Declinado,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abdominal-declinado.gif,true
Abdominal Flog,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-flog.gif,true
Abdominal Infra,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-infra.gif,true
Abdominal Infra Apoiado,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-infra-apoiado.gif,true
Abdominal Isometrico Alternando Pernas,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-isometrico-alternando-pernas.gif,true
Abdominal Lateral,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-lateral.gif,true
Abdominal Maquina,abdomen,maquina,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-maquina.gif,true
Abdominal Obliquo,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-obliquo.gif,true
Abdominal Obliquo Pernas Extendidas,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-obliquo-pernas-extendidas.gif,true
Abdominal Pegando a Bola,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abdominal-pegando-a-bola.gif,true
Abdominal Pernas Alternando,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-pernas-alternando.gif,true
Abdominal Polia Alta,abdomen,polia,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-polia-alta.gif,true
Abdominal Remador Pernas Extendidas,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-remador-pernas-extendidas.gif,true
Abdominal Rolinho,abdomen,peso_corporal,2,https://cdn.jsdelivr.net/gh/viniciusdesimmcees-droid/vc-fisiocoach-gifs@main/gifs/abs-rolinho.gif,true
