frame,x_px,y_px,radius_px
1,448.18,503.22,9.72
2,454.15,466.04,9.29
3,456.81,447.95,9.38
4,460.07,431.07,9.90
5,462.50,413.50,10.12
6,466.17,396.83,10.23
7,468.50,380.50,10.12
8,471.30,365.78,9.31
9,473.45,350.86,10.45
10,476.53,335.86,10.18
11,478.96,321.69,10.50
12,480.83,309.17,10.23
13,484.00,295.00,10.20
14,484.50,281.00,11.93
15,486.50,270.44,9.88
16,488.50,258.44,9.88
17,491.00,248.25,10.20
18,492.72,238.11,10.26
19,495.00,227.00,11.40
20,495.88,217.10,10.63
21,497.12,208.42,10.41
22,500.50,198.50,12.35
23,501.33,191.67,10.85
24,502.50,184.36,9.69
25,502.79,175.50,11.12
26,503.50,170.50,10.12
27,504.96,162.57,12.59
28,505.89,158.37,10.45
29,507.50,151.50,12.35
30,508.78,149.00,10.49
31,509.26,144.92,10.03
32,511.81,140.59,12.09
33,510.21,136.70,11.52
34,512.44,134.79,11.77
35,511.26,133.26,10.27
36,510.28,132.55,11.68
37,510.50,129.50,9.92
38,510.50,130.00,11.28
39,512.24,128.96,10.21
40,545.50,153.00,10.74
41,580.50,178.00,12.09
42,614.53,200.34,9.67
43,647.82,223.24,10.00
44,683.05,248.28,10.21
45,715.50,270.50,12.10
46,751.50,296.00,10.31
47,785.92,319.39,11.10
48,819.27,344.12,10.15
49,854.14,368.51,11.30
50,887.50,391.50,9.62
51,921.09,414.91,11.30
52,954.84,438.95,11.54
53,989.12,461.12,13.20
54,1025.71,485.57,10.83
55,1060.17,510.67,12.39
56,1094.00,534.53,13.11
57,1127.50,556.70,9.80
58,1161.00,582.53,13.11
59,1195.29,602.47,12.55
60,1229.42,629.10,11.80
